Nombre,ISIN,Rent Total 1 Día,Rent Total 1 Semana,Rent Total 1 Mes,Rent Total 3 Meses,Rent Total 6 Meses,Rent Total Año,Rent Total 1 Año,Rent Total 3 Años,Rent Total 5 Años,Rent Total 10 Años
First Trust US Momentum ETF A USD Acc,IE000CY30YV9,"1,61 %","2,92 %","2,34 %","6,59 %","22,73 %","16,45 %","15,64 %",—,—,—
First Trust Value Line® Div ETF A USDAcc,IE00BKVKW020,"0,53 %","0,37 %","1,03 %","0,97 %","7,49 %","7,54 %","4,02 %","9,67 %","8,75 %",—
First Trust Vest US EqMaxBffrETFJunA$ACC,IE000CO3P697,"0,13 %","0,34 %","0,42 %","1,64 %",—,—,—,—,—,—
First Trust Vst US Eq Bffr ETF Apr A$Acc,IE000WX2HZQ7,"0,29 %","0,98 %","0,91 %","2,52 %","10,93 %",—,—,—,—,—
First Trust Vst US Eq Bffr ETF Jan A$Acc,IE000MDKBOB3,"0,62 %","1,76 %","1,34 %","4,58 %","16,51 %",—,—,—,—,—
First Trust Vst US Eq Bffr ETF Jul A$Acc,IE000YJBT6I5,"0,59 %","1,71 %","1,17 %","4,24 %",—,—,—,—,—,—
First TrustVstNasdaq100ModBffrETFMarAAcc,IE0006S0EBF2,"0,45 %","1,39 %","1,34 %","3,07 %","13,40 %",—,—,—,—,—
First TrustVstNasdaq100ModBffrETFSepAAcc,IE000FQ808R5,"0,64 %","1,65 %","1,11 %","2,91 %","14,30 %","9,90 %","13,08 %",—,—,—
FirstTrust Nasdaq® ClnEdge®GlbWtrETFAAcc,IE000Q8F0M81,"0,00 %","0,00 %","1,14 %","2,50 %",—,—,—,—,—,—
FirstTrust RBA Am Indstr Rnssac ETFAAcc,IE000U6ABUJ7,"0,00 %","−1,83 %","0,31 %","13,48 %",—,—,—,—,—,—
FirstTrust Rising Div Achrs ETF A Acc,IE000K5F6EL4,"0,00 %","0,68 %","1,06 %","5,83 %",—,—,—,—,—,—
FirstTrustBlmbrgGlbSmcndctrSpplyChnETFA$,IE000KXTLDE2,"2,36 %","3,37 %","8,53 %","21,83 %","63,18 %","39,28 %",—,—,—,—
FirstTrustNasdaqClnEdgeSmrtGrdInfrasETFA,IE000J80JTL1,"2,11 %","2,62 %","4,93 %","9,06 %","37,32 %","32,37 %","27,79 %","27,33 %",—,—
FirstTrustVstNasdaq-100MdBffrETFDecA$Acc,IE000GAKWFA7,"0,86 %","2,08 %","1,94 %","4,97 %","17,77 %","11,88 %",—,—,—,—
Frankfurter UCITS-ETF - Modern Value,LU2439874319,"0,12 %","2,74 %","2,49 %","2,22 %","13,41 %","15,44 %","13,85 %","16,37 %",—,—
Franklin Catholic PrinciplesEMSovDbtETF$,IE000YZIVX22,"0,20 %","0,48 %","0,62 %","3,98 %","8,86 %","13,17 %","10,70 %","10,93 %",—,—
Franklin EM Multi-Factor Equity ETF,IE00BF2B0K52,"0,56 %","1,87 %","3,48 %","5,69 %","19,00 %","25,45 %","20,23 %","17,93 %","7,85 %",—
Franklin Euro IG Corporate ETF EUR Inc,IE000H0TSO96,"−0,10 %","−0,05 %","0,66 %","1,16 %","2,07 %","3,66 %","4,03 %",—,—,—
Franklin Euro Short Maturity ETF,IE00BFWXDY69,"0,02 %","0,14 %","0,29 %","0,53 %","1,14 %","2,02 %","2,64 %","3,38 %","1,98 %",—
Franklin European Qual Div UCITS ETF€Acc,IE000IMGE5W5,"−0,03 %","1,01 %","1,85 %",—,—,—,—,—,—,—
Franklin European Quality Div UCITS ETF,IE00BF2B0L69,"−0,09 %","1,12 %","1,35 %","2,16 %","7,55 %","20,03 %","18,14 %","16,84 %","14,02 %",—
Franklin FTSE Asia ex China ex Japan ETF,IE00BFWXDV39,"1,33 %","2,15 %","6,17 %","10,74 %","31,57 %","26,63 %","20,40 %","19,68 %","8,89 %",—
Franklin FTSE Brazil UCITS ETF,IE00BHZRQY00,"0,75 %","2,91 %","−2,03 %","10,33 %","14,32 %","34,55 %","16,17 %","6,22 %","8,67 %",—
Franklin FTSE China UCITS ETF,IE00BHZRR147,"0,86 %","2,47 %","−0,19 %","9,63 %","26,54 %","39,54 %","35,82 %","24,68 %","−1,18 %",—
Franklin FTSE Developed Wld ETF USDAcc,IE000CVOSY02,"1,00 %","2,54 %","2,34 %","6,57 %","23,25 %","18,85 %","19,79 %",—,—,—
Franklin FTSE Emerging ex China ETF Acc,IE0006D3PGW3,"0,85 %","1,71 %","3,81 %","8,50 %","22,81 %","19,96 %","15,58 %",—,—,—
Franklin FTSE Emerging Markets ETF Acc,IE0004I037N4,"0,88 %","2,08 %","2,02 %","8,95 %","24,32 %","25,76 %","21,58 %",—,—,—
Franklin FTSE India UCITS ETF,IE00BHZRQZ17,"−0,42 %","0,42 %","3,64 %","1,02 %","2,51 %","4,10 %","−0,39 %","12,33 %","13,10 %",—
Franklin FTSE Japan JPY Acc,IE000D0T0BO1,"0,00 %","3,27 %","4,15 %","11,01 %","28,71 %","23,36 %","30,35 %",—,—,—
Franklin FTSE Korea UCITS ETF,IE00BHZRR030,"2,38 %","4,24 %","13,94 %","24,38 %","64,06 %","77,38 %","53,76 %","24,55 %","8,07 %",—
Franklin FTSE Taiwan UCITS ETF,IE000CM02H85,"1,46 %","2,79 %","5,49 %","14,85 %","52,14 %","32,47 %","28,77 %","35,28 %",—,—
Franklin Future of Food ETF,IE000ZOKLHY7,"0,83 %","1,52 %","2,77 %","1,91 %","10,71 %","12,60 %","5,69 %",—,—,—
Franklin Future of Hlth & Wellness ETF,IE0003WEWAX4,"0,83 %","2,78 %","5,22 %","5,71 %","12,07 %","10,86 %","4,40 %",—,—,—
Franklin Global Quality Div UCITS ETF,IE00BF2B0M76,"0,33 %","1,45 %","0,59 %","2,47 %","11,11 %","11,90 %","9,63 %","15,82 %","11,40 %",—
Franklin MSCI China Prs AlgndClmtETF$Acc,IE000EBPC0Z7,"1,11 %","2,81 %","−1,23 %","10,81 %","27,68 %","38,88 %","35,65 %","18,87 %",—,—
Franklin MSCI Em Mkts Prs Algnd Clmt ETF,IE000QLV3SY5,"1,26 %","3,01 %","3,59 %","12,64 %","27,73 %","32,68 %","25,50 %",—,—,—
Franklin MSCI Wld Cthlc PrncplsETFUSDAcc,IE000AZOUN82,"1,40 %","2,25 %","2,49 %","5,47 %","26,06 %","21,19 %","20,60 %",—,—,—
Franklin S&P 500 Paris Aligned Clmt ETF,IE00BMDPBZ72,"1,18 %","2,72 %","2,59 %","7,18 %","24,70 %","14,50 %","17,41 %","24,46 %","16,10 %",—
Franklin S&P 500 Screened ETF,IE0006FAD976,"0,92 %","3,00 %","3,46 %","8,48 %","23,02 %",—,—,—,—,—
Franklin S&P World Screened ETF,IE0006WOV4I9,"0,67 %","2,55 %","3,43 %","7,96 %","20,49 %",—,—,—,—,—
Franklin Sst € Green Bd ETF CHF H Acc,IE0001JJF0Q9,"−0,17 %","−0,17 %","0,56 %","0,41 %",—,—,—,—,—,—
Franklin Sst € Green Bd ETF EUR Acc,IE00BHZRR253,"−0,25 %","−0,23 %","0,72 %","1,06 %","0,98 %","1,09 %","1,20 %","4,34 %","−2,22 %",—
Franklin STOXX Eurp 600ParisAlgndClmtETF,IE00BMDPBY65,"0,09 %","1,15 %","6,34 %","3,59 %","6,06 %","5,81 %","2,93 %","12,01 %","9,48 %",—
Franklin Sust Euro Green Sov ETF EUR Acc,IE000P0R7WK6,"−0,38 %","−0,39 %","0,88 %","1,05 %","< 0,01 %","−0,33 %","−0,54 %",—,—,—
Franklin Sust Euro Grn Corp 1-5YrETF€Acc,IE0006K7DEL9,"−0,10 %","−0,05 %","0,29 %","0,66 %","1,50 %","3,00 %","3,52 %",—,—,—
Franklin U.S. Equity ETF,IE00BF2B0P08,"1,10 %","2,33 %","1,29 %","7,01 %","25,59 %","19,44 %","15,87 %","17,07 %","13,35 %",—
Franklin US Dividend Tilt ETF,IE000Z4OBQK4,"1,25 %","2,57 %","1,60 %","6,86 %","26,46 %",—,—,—,—,—
Franklin US Mega Cap 100 ETF USD Acc,IE0008M1R3N4,"1,38 %","3,00 %","2,64 %","9,09 %",—,—,—,—,—,—
Franklin US Trs 0-1 Yr ETF MXN H Acc,IE000VLWPWJ8,"0,04 %","0,14 %","0,70 %",—,—,—,—,—,—,—
Franklin US Trs 0-1 Yr ETF USD Acc,IE000E02WFD5,"0,05 %","0,10 %","0,40 %","1,10 %",—,—,—,—,—,—
Franklin USD Invmt Grd CorpBdETF,IE00BFWXDX52,"0,00 %","0,24 %","1,13 %","3,91 %","6,63 %","7,43 %","6,66 %","7,88 %","0,10 %",—
"FranklinAI,Metaverse&BlockchainETFUSDAcc",IE000IM4K4K2,"3,43 %","3,89 %","5,63 %","20,61 %","58,46 %","33,70 %","52,47 %","38,50 %",—,—
FranklinFTSESaudiArabiaETFSINGLCLASS$Acc,IE000C7DDDX4,"0,04 %","−0,07 %","0,55 %","8,82 %","2,11 %","2,04 %",—,—,—,—
Fst Tr Nasdaq®ClnEg®GrnEyUCITS ETF A Acc,IE00BDBRT036,"3,64 %","2,92 %","11,67 %","29,68 %","69,53 %","32,90 %","38,67 %","−4,10 %","−5,80 %",—
Future of Defence ETF Acc,IE000OJ5TQP4,"0,19 %","4,93 %","1,51 %","6,34 %","28,94 %","63,18 %","65,27 %",—,—,—
Future of Dfnc Indo-Pac ex-Chn ETF Acc,IE000C7EUDG1,"−0,40 %","7,98 %","−0,71 %",—,—,—,—,—,—,—
Future of European Defence ETF Acc,IE000I7E6HL0,"3,35 %","−6,61 %","−1,80 %","0,60 %","23,08 %",—,—,—,—,—
Garnet US Trs Bd 1-3 Yr ETF USD DisRInvm,IE000QNT40T5,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",—,—,—,—,—
Glbl X S&P 500® Qt Buffer ETF A USD Acc,IE000LSRKCB4,"0,57 %","1,86 %","1,21 %","3,62 %","11,90 %","9,15 %","11,73 %",—,—,—
Glbl X S&P 500® Qt Tail H ETF A USD Acc,IE000EPX8KB7,"0,56 %","1,70 %","1,02 %","3,43 %","11,03 %","5,18 %","7,81 %",—,—,—
GLOBAL X 1-3 Month T-Bill ETF USD Acc,IE000GSIFIB0,"0,09 %","0,11 %","0,39 %","1,13 %","2,12 %","3,58 %","4,39 %",—,—,—
Global X AgTech & Food Innovt ETF USDAcc,IE000EBFYWX3,"0,84 %","3,01 %","0,85 %","−3,84 %","6,40 %","11,41 %","5,99 %","−7,42 %",—,—
Global X Artificial Intlgc ETF USD Acc,IE0000XTDDA8,"2,21 %","3,92 %","5,00 %","16,28 %","45,11 %","32,70 %","39,84 %",—,—,—
Global X Blockchain ETF USD Acc,IE000XAGSCY5,"10,17 %","5,23 %","25,29 %","79,53 %","211,01 %","115,46 %","129,49 %","76,90 %",—,—
Global X China Elctrc Vhcl &BttryETF$Acc,IE00094FRAA6,"1,22 %","3,06 %","−0,17 %","26,77 %","42,93 %","41,20 %","40,25 %","−0,89 %",—,—
Global X Clean Water ETF USD Acc,IE000BWKUES1,"1,21 %","2,80 %","3,82 %","4,79 %","15,25 %","18,38 %","12,46 %","19,32 %",—,—
Global X CleanTech ETF USD Acc,IE00BMH5YL08,"5,18 %","2,50 %","16,68 %","35,84 %","100,57 %","68,76 %","61,96 %","−1,06 %",—,—
Global X Cloud Computing ETF USD Acc,IE00BMH5YF48,"1,62 %","4,91 %","1,37 %","2,09 %","15,36 %","−0,81 %","16,82 %","14,70 %",—,—
Global X Copper Miners ETF USD Acc,IE0003Z9E2Y3,"0,53 %","0,80 %","8,23 %","32,92 %","56,96 %","61,39 %","39,95 %","31,82 %",—,—
Global X Cybersecurity ETF USD Acc,IE00BMH5Y871,"0,95 %","4,84 %","0,93 %","−0,06 %","8,42 %","9,95 %","14,41 %","14,85 %",—,—
Global X Defence Tech ETF USD Acc,IE000JCW3DZ3,"0,35 %","5,01 %","0,55 %","9,45 %","37,52 %","84,28 %","83,74 %",—,—,—
Global X Disruptive Materials ETF $ Acc,IE000FP52WM7,"1,57 %","2,02 %","8,72 %","28,12 %","73,43 %","75,47 %","56,08 %","12,59 %",—,—
Global X DtCenterREITs&DgtlInfrasETF$Acc,IE00BMH5Y327,"3,09 %","3,97 %","8,02 %","14,65 %","40,74 %","35,74 %","29,73 %","27,04 %",—,—
Global X E-commerce ETF USD Acc,IE00BMH5XY61,"1,60 %","3,30 %","−2,81 %","6,23 %","27,03 %","24,07 %","31,63 %","34,35 %",—,—
Global X Euro Stoxx 50 Cov Cll ETF € Dis,IE000SAXJ1M1,"0,25 %","1,08 %","2,79 %","6,52 %",—,—,—,—,—,—
Global X Europe Fcs Dfnc Tech ETF € Acc,IE000WRQ9RR1,"0,42 %","6,09 %","−0,85 %","8,42 %",—,—,—,—,—,—
Global X Eurp Infras Devpmt ETF EUR Acc,IE000PS0J481,"0,08 %","1,08 %","5,59 %","5,20 %","13,66 %","31,43 %","28,18 %",—,—,—
Global X Eurp Superdividend ETF EUR Dis,IE00082MOBL9,"0,82 %","4,96 %","2,57 %",—,—,—,—,—,—,—
Global X FinTech ETF USD Acc,IE00BLCHJZ35,"3,20 %","5,91 %","1,16 %","−1,30 %","25,13 %","9,88 %","18,91 %","19,57 %",—,—
Global X Genomics & Biotech ETF USD Acc,IE00BM8R0N95,"2,71 %","3,71 %","15,96 %","21,74 %","35,75 %","13,61 %","3,78 %","−3,14 %",—,—
Global X Hydrogen ETF USD Acc,IE0002RPS3K2,"4,72 %","−1,81 %","20,17 %","53,85 %","147,82 %","93,61 %","113,78 %","−4,88 %",—,—
Global X Internet of Things ETF USD Acc,IE00BLCHJT74,"1,64 %","2,97 %","0,97 %","5,05 %","25,42 %","13,55 %","16,50 %","15,51 %",—,—
Global X Lithium & Battery TechETFUSDAcc,IE00BLCHJN13,"4,52 %","6,72 %","9,14 %","35,28 %","65,36 %","47,36 %","42,11 %","−2,08 %",—,—
Global X NASDAQ 100 Covered Call ETF Acc,IE00BM8R0H36,"0,72 %","1,51 %","4,33 %","7,00 %","12,01 %","1,71 %","8,51 %",—,—,—
Global X NASDAQ 100 Covered Call ETF Dis,IE00BM8R0J59,"0,71 %","2,40 %","4,09 %","5,97 %","11,24 %","0,59 %","7,51 %",—,—,—
Global X Rbtc & Artfcl Intlgc ETF USDAcc,IE00BLCHJB90,"1,60 %","5,03 %","6,33 %","9,21 %","35,39 %","16,81 %","20,55 %","26,76 %",—,—
Global X Renewable Ey Producers ETF $Acc,IE00BLCHJH52,"1,04 %","0,52 %","7,63 %","11,21 %","32,16 %","32,01 %","17,02 %","−2,33 %",—,—
Global X S&P 500® Annual Buffer ETF,IE0009BM62P2,"0,33 %","1,16 %","1,05 %","3,40 %","13,04 %","10,10 %","11,91 %",—,—,—
Global X S&P 500® Annual Tail Hedge ETF,IE000HGH8PV2,"0,32 %","1,15 %","1,03 %","3,32 %","12,40 %","9,39 %","11,02 %",—,—,—
Global X s&p 500® Covered Call ETF-Inc,IE0002L5QB31,"0,53 %","1,92 %","2,59 %","4,33 %","10,59 %","3,18 %","8,84 %",—,—,—
Global X Silver Miners ETF USD Acc,IE000UL6CLP7,"−0,90 %","−7,55 %","1,11 %","38,13 %","74,59 %","119,86 %","74,32 %","41,80 %",—,—
Global X Solar ETF USD Acc,IE000XD7KCJ7,"3,58 %","3,25 %","7,11 %","30,37 %","60,23 %","38,06 %","23,43 %","−10,28 %",—,—
Global X SuperDividend ETF USD Cap,IE000YICM5P9,"0,74 %","3,25 %","0,52 %","1,96 %","23,79 %","24,04 %","18,10 %","13,06 %",—,—
Global X SuperDividend ETF USD Dis,IE00077FRP95,"0,96 %","3,09 %","0,74 %","2,27 %","23,97 %","24,16 %","18,07 %","12,86 %",—,—
Global X Telemedicine & Dgtl Hlth ETF A,IE00BLR6QB00,"2,02 %","2,70 %","1,84 %","7,55 %","27,19 %","18,89 %","25,79 %","2,39 %",—,—
Global X U.S. Infras Devpmt ETF USD Acc,IE00BLCHJ534,"1,84 %","3,14 %","3,45 %","5,10 %","29,37 %","19,44 %","18,06 %","25,82 %",—,—
Global X Uranium ETF USD Acc,IE000NDWFGA5,"2,87 %","−3,39 %","1,11 %","24,57 %","121,82 %","100,58 %","74,19 %","41,89 %",—,—
Global X Video Games & Esports ETF A,IE00BLR6Q544,"0,54 %","1,60 %","−2,17 %","1,68 %","19,51 %","35,37 %","39,66 %","23,43 %",—,—
Global X Wind Energy ETF USD Acc,IE000JNHCBM6,"1,24 %","1,43 %","3,93 %","5,49 %","26,28 %","26,85 %","9,02 %","−3,01 %",—,—
Global XAutonomous&ElectricvhclsETF$ Acc,IE00BMH5YR69,"2,65 %","3,77 %","7,09 %","17,72 %","47,10 %","29,21 %","34,02 %","15,14 %",—,—
Gold Bullion Securities,GB00B00FHZ82,"−0,47 %","−3,09 %","9,94 %","22,19 %","23,87 %","57,51 %","50,47 %","35,22 %","16,31 %","13,04 %"
Gold EUR Hedge ETC,DE000PB6G0E0,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",—
Goldman Sachs Acs CHN Govt Bd ETF USDAcc,IE00BJSBC011,"0,00 %","−0,02 %","0,07 %","−0,04 %","2,37 %","2,86 %","2,76 %","4,59 %",—,—
Goldman Sachs Acs CHN Govt Bd ETF USDInc,IE00BJSBCS90,"−0,03 %","−0,01 %","0,38 %","0,35 %","2,49 %","2,90 %","2,72 %","4,71 %","2,82 %",—
Goldman Sachs EUR HY Bd Act ETF EUR Dist,IE000M02BVY5,"0,04 %","0,46 %","0,09 %","−1,34 %","1,13 %",—,—,—,—,—
Goldman Sachs Glb Gren Bd ETF EUR Dist,IE000SYQFJV2,"−0,40 %","0,02 %","1,16 %","0,12 %","−0,83 %","−4,41 %","−3,67 %",—,—,—
Goldman Sachs Glb Gren Bd ETF EUR H Dist,IE000L0X6L81,"0,00 %","0,00 %","0,00 %","−1,23 %","0,46 %","−2,60 %","−2,91 %",—,—,—
Goldman Sachs USD HY Bd Act ETF USD Dist,IE0006B9CPY7,"0,31 %","0,71 %","0,35 %","−1,17 %","3,47 %",—,—,—,—,—
Goshawk Global Balanced UCITS ETF,IE00BL643144,"0,58 %","1,59 %","2,44 %","4,28 %","13,48 %","14,38 %","10,81 %","18,30 %","7,55 %",—
GS Acs UK Glt 1-10 Yrs ETF CLG BP Dist,IE0003MKK4H3,"−0,06 %","0,36 %","1,27 %","1,75 %","2,21 %","4,87 %","4,10 %","3,48 %",—,—
GS Act Beta Prs Algd Sust US LrgCpEq$Acc,IE00BJ5CNR11,"1,30 %","2,58 %","1,64 %","5,23 %","23,84 %","15,29 %","15,92 %","21,87 %","14,62 %",—
GS ActiveBeta Em Mkt Eq ETF A USD Acc,IE00BJ5CMD00,"0,79 %","2,56 %","3,24 %","10,06 %","28,54 %","32,18 %","26,43 %","20,52 %","6,82 %",—
GS Alp Enh EM Eq Act ETF USD Acc,IE000KEFZYE7,"0,81 %","2,29 %","3,74 %","10,71 %",—,—,—,—,—,—
GS Alp Enh Eurp Eq Actv ETF EUR (Acc),IE000RITWOD4,"0,09 %","1,37 %","4,44 %","5,74 %",—,—,—,—,—,—
GS Alp Enh US Eq Act ETF USD Acc,IE000HYFO765,"1,27 %","3,38 %","3,19 %","9,47 %","23,93 %",—,—,—,—,—
GS Alp Enh Wld Eq Actv ETF USD (Acc),IE000UFAX9L6,"0,98 %","2,46 %","1,97 %","7,21 %",—,—,—,—,—,—
GS EM Green and Scl Bd Act ETF EUR HDist,IE000GZD8ME7,"0,18 %","0,52 %","0,55 %","2,73 %",—,—,—,—,—,—
GS EM Green and Scl Bd Act ETF USD Dist,IE000EC86C06,"0,18 %","0,40 %","0,25 %","2,88 %",—,—,—,—,—,—
GS EUR IG Corp Bd Act ETF EUR Dist,IE0009EDBBS3,"−0,09 %","0,02 %","0,69 %","−0,41 %","0,41 %",—,—,—,—,—
GS Paris Aligned Climate Wld Eq ETF $Acc,IE000HPBRE54,"0,97 %","2,36 %","2,60 %","6,28 %","22,15 %","18,79 %","17,82 %","21,28 %",—,—
GS USD IG Corp Bd Act ETF USD Dist,IE000RRCJI06,"0,10 %","0,37 %","1,35 %","1,20 %","4,43 %",—,—,—,—,—
Guinness Sustainable Energy UCITS ETF,IE00BNC1F287,"1,85 %","2,39 %","5,70 %","9,69 %","36,93 %","29,86 %","15,74 %","5,94 %",—,—
HAN-GINS Tech Megatrend Equal Wgt ETFAcc,IE00BDDRF700,"3,32 %","2,84 %","3,71 %","15,56 %","46,68 %","32,31 %","38,96 %","29,92 %","9,54 %",—
HANetf II Performance Trust TR Bd ETF,IE000X5OD4M3,"−0,15 %","0,65 %","2,53 %","5,34 %","3,62 %","−3,45 %","−0,70 %",—,—,—
HANetf INQQ India Internet ETF Acc,IE000WYTQSF9,"−0,62 %","−0,37 %","1,09 %","−0,47 %","4,65 %","−0,70 %","2,76 %",—,—,—
HANetf Jupiter Glb Govt Bd Act ETF $ Acc,IE000GDU4WA8,"−0,11 %","0,14 %","1,20 %","3,16 %","2,45 %",—,—,—,—,—
Harbor Health Care UCITS ETF Acc,IE00BJQTJ848,"0,55 %","1,49 %","5,18 %","6,93 %","18,95 %","17,19 %","7,57 %","5,02 %","−5,54 %",—
Hashdex Crypto Momentum Factor ETP,CH1218734544,"0,00 %","−0,26 %","−15,25 %","−14,39 %","20,04 %","−17,50 %","46,87 %",—,—,—
HENRY HUB ERDGAS (TR) ETC,DE000PB6GAS5,"−0,80 %","11,51 %","12,64 %","−2,42 %","−13,82 %","−26,71 %","−7,93 %","−47,85 %","−23,80 %",—
Horizon Kinetics Full-Cycle Infl Eq ETF$,IE000Z7ELYY2,"0,00 %","0,14 %","−1,20 %","5,19 %","8,54 %","11,42 %","11,50 %",—,—,—
HSBC Asia Pac Ex Jpn Scrn Eq ETF,IE00BKY58G26,"0,84 %","2,25 %","3,47 %","10,10 %","30,16 %","30,21 %","25,66 %","22,73 %","8,55 %",—
HSBC Blmbrg Glb ESG Aggt 1-3 Y BdETF$Acc,IE000XGNMWE1,"−0,07 %","−0,30 %","−0,49 %","0,19 %","1,92 %","7,37 %","5,85 %","5,41 %",—,—
HSBC Developed World Scrn Eq ETF,IE00BKY59K37,"0,55 %","1,82 %","2,67 %","5,59 %","21,23 %","19,30 %","18,77 %","20,64 %","13,19 %",—
HSBC Emerging Market Screened Eq ETF,IE00BKY59G90,"0,80 %","2,34 %","1,80 %","10,63 %","27,95 %","30,07 %","24,28 %","21,06 %","7,54 %",—
HSBC Euro Corp Bd ETFC,IE0000KA1ZX3,"−0,08 %","−0,05 %","0,74 %","1,13 %",—,—,—,—,—,—
HSBC Euro Government Bond ETFC,IE00066KZ5B5,"0,00 %","0,00 %","1,44 %","0,68 %",—,—,—,—,—,—
HSBC Euro Lwr Carb Govt 1-3 Yr BdETFCEUR,IE0009WMIIC0,"−0,11 %","−0,23 %","0,22 %","0,38 %","0,56 %",—,—,—,—,—
HSBC Euro Lwr Carb Govt 10+ Yr BdETFCEUR,IE0008BU0XC3,"0,00 %","0,00 %","0,00 %","−0,82 %","−1,53 %",—,—,—,—,—
HSBC EURO STOXX 50 ETF,IE00B4K6B022,"0,07 %","1,07 %","3,91 %","6,00 %","12,74 %","18,95 %","18,17 %","20,64 %","15,41 %","8,37 %"
HSBC Europe Ex UK Screened Eq ETF EURDis,IE00BKY58625,"0,17 %","−0,11 %","3,21 %","2,84 %","10,39 %","27,02 %","17,72 %","23,63 %",—,—
HSBC Europe Screened Equity ETF,IE00BKY55W78,"0,10 %","0,95 %","4,62 %","4,98 %","9,42 %","14,69 %","11,26 %","15,71 %","10,81 %",—
HSBC FTSE 100 ETF,IE00B42TW061,"0,63 %","3,04 %","4,41 %","6,38 %","16,21 %","21,76 %","20,84 %","15,21 %","14,44 %","8,04 %"
HSBC FTSE 250 ETF,IE00B64PTF05,"0,72 %","3,35 %","4,14 %","2,43 %","17,13 %","12,09 %","11,24 %","12,24 %","7,13 %","5,14 %"
HSBC FTSE EPRA NAREIT Dev ETF CHF HdgACC,IE0009YEDMC6,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","−1,72 %",—,—,—
HSBC FTSE EPRA NAREIT Dev IslamicETF$Acc,IE000U679IT9,"1,20 %","2,05 %","3,67 %","5,23 %","12,49 %","10,33 %","1,92 %",—,—,—
HSBC FTSE EPRA/NAREIT Developed ETF,IE00B5L01S80,"0,72 %","1,77 %","2,59 %","4,25 %","10,91 %","12,84 %","4,47 %","10,99 %","5,65 %","3,38 %"
HSBC Global Aggregate Bond CH CHF,IE000AE3TNP7,"0,00 %","0,06 %","0,66 %","1,36 %","1,11 %","1,49 %","0,69 %",—,—,—
HSBC Global Corporate Bond ETF CH USD,IE000EHRXW91,"0,03 %","0,25 %","1,26 %","3,36 %","5,71 %","6,92 %","6,91 %",—,—,—
HSBC Global Corporate Bond ETF SH GBP,IE0005FQHJC4,"0,04 %","0,26 %","1,24 %","3,30 %","5,57 %","6,78 %","6,77 %",—,—,—
HSBC Global ESG Government Bd ETF CHEUR,IE000389GTC0,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,17 %",—,—,—
HSBC Global ESG Government Bd ETF CHUSD,IE000NOLCFO5,"−0,09 %","0,05 %","1,17 %","1,63 %","2,30 %","2,84 %","2,99 %",—,—,—
HSBC Global ESG Government Bd ETF SHGBP,IE000VYC5HU2,"−0,09 %","0,11 %","1,27 %","1,89 %","2,17 %","3,36 %","3,69 %",—,—,—
HSBC Japan Screened Equity ETF,IE00BKY55S33,"0,66 %","1,58 %","1,28 %","7,05 %","15,74 %","22,56 %","27,12 %","22,69 %","10,55 %",—
HSBC MSCI AC APACExJpnClmtPrsAlgndETFUSD,IE000XFORJ80,"1,03 %","2,32 %","4,45 %","10,43 %","27,87 %","27,28 %","20,67 %","18,61 %",—,—
HSBC MSCI AC FAR EAST ex JAPAN ETF,IE00BBQ2W338,"1,34 %","2,69 %","3,85 %","13,18 %","38,60 %","40,59 %","33,70 %","25,70 %","5,25 %","7,18 %"
HSBC MSCI Canada ETF,IE00B51B7Z02,"0,51 %","1,44 %","0,53 %","7,86 %","22,53 %","27,40 %","25,53 %","19,69 %","14,85 %","9,70 %"
HSBC MSCI CHINA A ETF USD (Acc),IE000Z4OYPZ6,"1,27 %","3,04 %","2,67 %","14,03 %","27,68 %","24,69 %","22,12 %","10,16 %",—,—
HSBC MSCI CHINA A ETF USD H (Acc),IE0007HPIXG8,"1,24 %","2,98 %","3,05 %","14,30 %",—,—,—,—,—,—
HSBC MSCI CHINA A UCITS ETF,IE00BF4NQ904,"1,11 %","2,99 %","2,80 %","13,95 %","27,58 %","24,57 %","21,75 %","10,13 %","0,55 %",—
HSBC MSCI China ETF,IE00B44T3H88,"0,77 %","2,70 %","−0,03 %","9,67 %","26,24 %","39,58 %","35,19 %","25,33 %","−1,31 %","4,78 %"
HSBC MSCI EM Clmt Paris Aligned ETF USD,IE000FNVOB27,"−0,03 %","0,02 %","2,45 %","10,51 %","25,99 %","30,05 %","22,37 %","17,04 %",—,—
HSBC MSCI EM Islamic Scrn Cpd ETF USDAcc,IE0009BC6K22,"1,16 %","1,89 %","5,50 %","14,48 %","31,52 %","37,07 %","26,51 %",—,—,—
HSBC MSCI Em Mkts Val Scrn ETF USD Acc,IE000NVVIF88,"1,00 %","2,40 %","5,00 %","12,37 %","32,57 %","34,26 %","28,91 %",—,—,—
HSBC MSCI EM Sm Cap Scrn ETF USD Acc,IE000W080FK3,"0,70 %","1,83 %","1,41 %","6,69 %","26,91 %","26,09 %","21,70 %",—,—,—
HSBC MSCI Emerg Mkts ETF,IE00B5SSQT16,"0,90 %","2,40 %","3,88 %","11,36 %","28,84 %","32,81 %","26,38 %","20,97 %","6,50 %","6,97 %"
